ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,recent_5d_growth
600395,20240126,20260314,20260130,5.47,6.13,12.07,25,4.7,30.43,1.1,5.67,10.79,0.0,5.16,16,8,2.0,27.44,15.26,42.7,0.66
000995,20240126,20260314,20260129,14.48,15.49,6.98,26,12.62,22.74,30.94,14.43,3.8,0.0,11.66,15,10,1.5,53.53,43.57,97.1,0.26
300369,20240126,20260314,20260129,7.95,9.64,21.26,26,7.62,26.51,3.9,23.4,10.06,0.0,10.82,17,8,2.12,59.93,37.4,97.32,0.52
600158,20240126,20260314,20260129,9.6,10.86,13.12,26,8.78,23.69,0.1,1.87,5.21,0.0,2.14,11,12,0.92,25.22,12.4,37.62,1.69
603958,20240126,20260314,20260128,15.8,20.1,27.22,27,13.25,51.7,24.62,33.61,21.9,0.0,21.58,13,13,1.0,59.97,33.04,93.02,5.57
603113,20240126,20260314,20260128,6.99,8.2,17.31,27,6.14,33.55,1.14,1.86,2.72,0.0,1.6,15,11,1.36,33.87,17.2,51.07,7.75
600740,20240126,20260314,20260128,4.4,5.01,13.86,27,3.78,32.54,0.45,1.36,10.68,0.0,3.7,11,13,0.85,52.36,37.03,89.39,2.04
002831,20240126,20260314,20260128,28.5,34.56,21.26,27,28.39,21.73,-1.37,12.0,8.77,0.0,5.96,16,10,1.6,41.36,20.69,62.05,15.78
002299,20240126,20260314,20260128,16.88,18.51,9.66,27,16.63,11.3,0.12,9.3,15.7,0.0,7.52,14,11,1.27,25.29,15.6,40.89,-5.75
300464,20240126,20260314,20260127,6.8,7.57,11.32,28,6.36,19.03,-0.29,3.38,1.91,0.0,1.53,17,9,1.89,24.15,12.95,37.09,6.32
000815,20240126,20260314,20260126,13.17,16.96,28.78,29,11.4,48.77,8.2,2.51,9.34,0.0,5.2,14,14,1.0,86.19,55.95,142.14,-5.46
600926,20240126,20260314,20260126,15.58,17.16,10.14,29,15.45,11.07,3.72,5.65,5.71,0.0,4.15,17,11,1.55,16.6,6.78,23.38,4.7
002734,20240126,20260314,20260126,18.77,21.45,14.28,29,16.91,26.85,13.48,8.74,14.97,0.0,9.81,16,12,1.33,51.26,35.78,87.05,4.13
002623,20240126,20260314,20260123,20.71,24.78,19.65,30,18.09,36.98,24.34,29.7,34.04,19.65,27.92,14,15,0.93,63.29,42.19,105.48,-0.88
002457,20240126,20260314,20260123,11.55,12.24,5.97,30,10.97,11.58,3.38,8.48,27.45,5.97,12.65,14,14,1.0,39.07,31.75,70.82,-10.2
600821,20240126,20260314,20260123,5.56,10.15,82.55,30,5.14,97.47,7.73,0.36,32.91,82.55,28.04,20,9,2.22,92.73,28.41,121.14,7.29
603139,20240126,20260314,20260123,22.45,27.92,24.37,30,20.97,33.14,6.9,4.68,19.64,24.37,13.55,18,11,1.64,43.56,20.11,63.66,2.95
603578,20240126,20260314,20260123,13.62,14.31,5.07,30,12.1,18.26,24.74,11.97,17.33,5.07,14.75,12,17,0.71,49.13,41.5,90.63,-5.73
300113,20240126,20260314,20260123,22.45,26.92,19.91,30,20.83,29.24,8.73,15.14,26.41,19.91,18.19,17,12,1.42,79.92,55.78,135.7,-8.31
