breakthrough_date,breakthrough_price,breakthrough_ratio,final_gain,ma120,success,ts_code,volume_ratio
20240807,8.91,0.4613,-2.69,8.87,False,sh600021,1.2605
20251024,21.15,0.6667,7.94,21.01,False,sh688360,0.3295
20240920,2.36,0.4968,27.54,2.35,True,sh600376,1.8237
20240904,4.28,1.4158,-0.23,4.22,False,sh600525,1.3817
20251212,45.84,1.4921,-4.32,45.17,False,sh688550,0.9016
20241218,7.95,0.9834,-11.19,7.87,False,sh600611,0.583
20240927,18.32,3.823,-1.53,17.64,False,sh603100,1.6998
20240926,0.49,0.0686,11.11,0.49,False,sh900904,1.0436
20240930,4.48,1.8915,-3.79,4.4,False,sh603429,1.8931
20250908,27.66,0.6239,-1.27,27.49,False,sh603235,0.8271
20240731,7.95,3.5426,-7.3,7.68,False,sh603936,1.2503
20240927,35.19,4.4717,-1.22,33.68,False,sh600009,2.9887
20240930,7.37,7.4257,-10.44,6.86,False,sh603718,5.3758
20240926,9.35,0.7163,5.03,9.28,False,sh600793,1.812
20250721,44.19,0.0436,2.2,44.17,False,sh688348,0.8963
20251124,36.05,0.7157,1.64,35.79,False,sh603757,0.6734
20240927,5136.44,3.1476,5.46,4979.7,False,sh000852,1.996
20250722,10.32,0.7222,-1.16,10.25,False,sh688306,1.9491
20250708,104.27,2.249,-3.14,101.98,False,sh688032,2.7514
20240830,18.17,1.5476,-2.2,17.89,False,sh600520,2.2742
20250326,176.31,0.138,0.14,176.07,False,sh000061,0.2942
20250723,137.38,3.2434,6.88,133.06,False,sh688536,1.6412
20240731,18.36,6.0791,-1.31,17.31,False,sh600990,3.9182
20240927,5.03,3.1689,0.4,4.88,False,sh603166,1.7224
20240926,3.59,0.5086,11.98,3.57,False,sh600310,1.6548
20251222,39.98,4.5295,-0.45,38.25,False,sh688051,1.4382
20240906,12.18,0.2951,-0.33,12.14,False,sh601688,3.6873
20260120,59.45,1.611,0.42,58.51,False,sh603400,2.6717
20251215,101.12,0.2435,1.38,100.87,False,sh688578,1.2156
20241008,9.38,3.4787,-11.3,9.06,False,sh603955,3.3483
20240927,5.61,1.0917,0.0,5.55,False,sh603128,1.505
20240925,9.89,0.4233,17.3,9.84,False,sh600639,2.706
20250821,9.28,0.0638,-1.4,9.27,False,sh600025,1.0183
20240930,8.72,7.0672,-5.16,8.14,False,sh600097,3.2063
20251031,21.21,5.0351,-3.91,20.19,False,sh603367,1.3901
20250916,11.72,0.6009,-5.89,11.65,False,sh603329,1.0268
20260206,26.83,1.3932,5.03,26.46,False,sh688251,0.994
20240927,2.92,5.0045,1.37,2.78,False,sh603601,1.7814
20240920,1.28,3.0942,16.41,1.24,False,sh600743,3.9238
20240930,3.81,10.1023,-6.04,3.46,False,sh600110,3.1713
20250701,23.2,1.3322,3.19,22.9,False,sh605011,3.9497
20250819,26.7,3.1386,-3.03,25.89,False,sh688165,3.1399
20240930,26.66,6.0328,-8.51,25.14,False,sh603031,8.124
20250801,37.89,4.2826,2.4,36.33,False,sh603283,4.6227
20260112,32.09,15.7564,-2.09,27.72,False,sh688232,13.5855
20250624,17.71,0.6039,0.06,17.6,False,sh688106,0.9172
20240801,2.78,0.2404,0.36,2.77,False,sh601616,0.8546
20240926,2627.37,3.5832,10.57,2536.48,False,sh000155,1.8488
20251113,2.85,1.3303,-9.82,2.81,False,sh603557,2.0459
20240927,6701.54,4.8532,3.01,6391.35,False,sh000966,2.1695
20240930,4.18,2.9687,-1.2,4.06,False,sh600711,2.2035
20250728,9.22,1.0256,-4.45,9.13,False,sh605377,3.1329
20240927,21.49,5.1464,-1.02,20.44,False,sh603000,1.9027
20260113,49.6,15.1854,-7.58,43.06,False,sh688137,13.8326
20240806,42.71,0.2053,-0.56,42.62,False,sh600276,0.773
20240806,11.09,0.8931,0.72,10.99,False,sh603567,1.0202
20240927,54.07,8.7499,-4.2,49.72,False,sh603833,1.6796
20251219,5.74,2.2687,-2.09,5.61,False,sh603335,0.9796
20240927,7.95,3.0683,-6.92,7.71,False,sh600238,2.0743
20240924,4.99,0.1231,21.86,4.98,True,sh603999,1.9212
20240731,4736.64,0.2392,-2.81,4725.34,False,sh000934,1.7438
20240816,3520.33,0.0313,1.51,3519.23,False,sh000149,0.9152
20240927,11.61,3.1908,4.31,11.25,False,sh603319,1.9406
20240927,1.76,2.5442,0.57,1.72,False,sh600408,2.0868
20260121,49.62,0.4223,5.46,49.41,False,sh603062,1.0461
20240927,8.97,3.6974,3.23,8.65,False,sh600392,2.3489
20260105,30.93,5.2109,16.55,29.4,False,sh688260,1.4283
20250902,8.85,1.5576,-3.84,8.71,False,sh601825,2.8577
20250625,35.25,0.2798,1.93,35.15,False,sh688433,0.7277
20240930,11.12,4.8906,-4.86,10.6,False,sh603630,5.4418
20240927,3.39,1.2192,11.21,3.35,False,sh600121,2.3494
20240927,4905.48,1.9328,2.11,4812.46,False,sh000107,1.4132
20240924,10.82,5.7717,40.11,10.23,True,sh600446,8.4508
20251020,14.0,2.101,0.29,13.71,False,sh688707,0.6352
20240816,5.8,0.5358,1.9,5.76,False,sh600015,1.1484
20240926,1.92,0.3047,9.38,1.91,False,sh600868,2.4731
20250625,5.56,0.8846,1.26,5.51,False,sh603682,0.8282
20240930,4.77,7.5601,-7.12,4.44,False,sh600572,4.1025
20250708,27.15,0.348,4.35,27.06,False,sh688633,1.5909
20240906,5.5,2.2006,-6.72,5.39,False,sh600826,10.8251
20250624,14.74,2.5645,1.24,14.37,False,sh603201,1.1649
20240926,2.57,3.6604,8.95,2.48,False,sh600496,2.6316
20250701,36.81,1.5957,-6.41,36.23,False,sh688337,2.6792
20250625,18.17,0.1336,2.75,18.15,False,sh605177,0.8741
20240926,1994.07,0.7323,21.06,1979.57,True,sh000828,2.6461
