last_trade_date,today_close,prev_n_days,prev_n_max_high,n_day_high_break,ma120_breakthrough_date,price_at_ma120_segment_start,growth_pct_ma120_start_to_today,days_since_ma120_segment,ts_code
20260420,11.54,20,11.22,True,20250905,5.7,102.4561,145,002647
20260420,10.96,20,10.91,True,20250815,4.65,135.6989,161,002429
20260420,62.44,20,59.9,True,20250804,24.1,159.0871,170,300503
20260420,8.31,20,8.3,True,20250731,3.825,117.2549,169,002131
20260420,235.88,20,235.35,True,20250725,69.28,240.4734,176,688702
20260420,42.37,20,40.42,True,20250725,15.62,171.2548,176,601231
20260420,77.8,20,75.29,True,20250721,22.91,239.5897,180,300136
20260420,68.38,20,65.27,True,20250717,17.19,297.7894,182,300806
20260420,17.97,20,17.8,True,20250717,5.69,215.8172,182,688387
20260420,52.25,20,52.22,True,20250716,19.58,166.8539,183,688081
20260420,175.63,20,171.01,True,20250714,46.87,274.7173,185,301086
20260420,68.2,20,62.0,True,20250711,20.48,233.0078,186,002428
20260420,15.92,20,15.6,True,20250702,7.38,115.7182,193,300444
20260420,133.34,20,127.47,True,20250630,39.41,238.3405,194,603268
20260420,40.6,20,39.99,True,20250624,22.01,84.4616,199,300899
20260420,103.4,20,101.54,True,20250624,29.95,245.2421,199,301285
20260420,94.52,20,88.35,True,20250624,26.94,250.8537,199,600118
20260420,40.99,20,39.17,True,20250623,13.09,213.1398,200,688102
20260420,234.1,20,228.0,True,20250623,28.13,732.2076,200,301232
20260420,131.31,20,131.0,True,20250623,62.95,108.5941,200,688002
20260420,37.39,20,35.85,True,20250623,11.41,227.695,200,600343
20260420,77.75,20,77.0,True,20250623,26.4,194.5076,200,300731
20260420,26.18,20,25.88,True,20250623,8.89,194.4882,200,603876
20260420,68.32,20,65.18,True,20250623,26.91,153.8833,200,688663
20260420,68.3,20,67.88,True,20250623,24.82,175.1813,190,301148
20260420,28.2,20,25.58,True,20250623,9.68,191.3223,200,301265
20260420,27.35,20,25.66,True,20250623,10.0,173.5,198,300736
20260420,47.96,20,45.97,True,20250623,16.1,197.8882,200,002957
20260420,47.15,20,47.0,True,20250623,13.35,253.1835,200,605287
20260420,206.12,20,203.41,True,20250623,42.19,388.5518,200,301200
20260420,178.25,20,174.94,True,20250623,33.211,436.7198,200,301005
20260420,99.66,20,94.74,True,20250623,31.35,217.8947,200,688480
20260420,69.0,20,68.7,True,20250623,18.6,270.9677,200,688607
20260420,89.63,20,85.47,True,20250623,30.954,189.5587,200,002487
20260420,74.72,20,72.49,True,20250623,19.87,276.0443,200,688523
20260420,21.37,20,21.16,True,20250618,10.92,95.696,202,300093
20260420,17.13,20,16.94,True,20250606,7.26,135.9504,211,600331
20260420,19.97,20,19.94,True,20250528,9.97,100.3009,217,601958
20260420,58.54,20,57.09,True,20250506,9.77,499.1812,233,000657
20260420,14.33,20,13.75,True,20250506,7.23,98.2019,228,300018
20260420,48.76,20,48.3,True,20250430,14.753,230.509,234,000962
20260420,54.04,20,50.4,True,20250429,14.84,264.1509,235,002046
20260420,20.29,20,19.39,True,20250421,3.321,510.9606,241,002565
20260420,13.66,20,13.63,True,20250408,7.46,83.1099,250,000672
20260420,12.16,20,11.84,True,20241014,2.89,320.7612,362,603608
20260420,21.91,20,19.92,True,20240925,3.07,613.6808,375,600234
20260420,220.16,20,220.11,True,20240729,208.44,5.6227,417,399301
20260420,216.26,20,216.2,True,20240729,204.75,5.6215,417,399298
