ts_code,breakthrough_date,breakthrough_price,ma120_at_breakthrough,held_p0,held_ma120,held_p0_days,held_ma120_days,min_deviation_p0,min_deviation_ma,broke_p0_count,broke_ma_count,max_gain,final_gain,success
sz300723,20250929,56.96,56.03,False,False,3,3,-48.1,-43.19,117,117,8.53,-36.97,False
sz000617,20240819,5.45,5.42,False,False,96,69,-11.93,-9.74,24,51,67.91,19.64,False
sz002304,20240926,80.62,79.12,False,False,35,59,-8.62,-6.01,85,61,17.27,-8.3,False
sz002802,20250624,13.46,13.28,False,False,58,50,-11.23,-10.95,62,70,8.45,-10.64,False
sz300458,20240830,16.84,16.31,False,False,103,104,-9.32,-6.86,17,16,183.68,179.8,True
sz300171,20240930,13.46,12.14,False,False,48,108,-13.15,-3.44,72,12,14.2,-1.41,False
sz301008,20250624,22.4,22.07,True,False,120,117,0.0,-0.93,0,3,134.2,46.92,True
sz002519,20240930,5.28,4.93,False,False,80,78,-8.71,-14.75,40,42,39.39,-7.01,False
sz300943,20251124,17.22,16.97,False,True,94,95,-0.64,0.0,1,0,130.37,78.11,True
sz000659,20240813,1.76,1.76,True,False,120,113,0.0,-6.07,0,7,117.61,61.93,True
sz002985,20250930,29.21,27.96,False,False,90,99,-6.64,-5.23,30,21,60.8,24.48,True
sz300416,20240930,12.9,12.01,False,False,45,90,-17.6,-9.84,75,30,34.42,34.42,True
sz002283,20240927,4.29,4.24,False,True,118,120,-1.4,0.0,2,0,89.89,46.34,True
sz399806,20240927,983.21,948.72,True,True,120,120,0.0,0.0,0,0,31.71,24.98,True
sz002701,20240731,4.16,4.09,False,False,107,106,-2.88,-4.6,13,14,44.23,18.27,False
sz002266,20240926,2.94,2.93,False,False,111,96,-2.38,-6.12,9,24,20.06,12.24,False
sz002960,20250624,9.72,9.61,False,False,116,102,-0.72,-8.22,4,18,37.55,4.01,False
sz000892,20240802,2.9,2.84,False,False,82,78,-13.79,-11.03,38,42,77.24,14.48,False
sz002686,20240918,4.49,4.37,True,False,120,117,0.0,-1.83,0,3,50.33,50.33,True
sz300013,20240812,2.48,2.17,False,False,94,117,-18.55,-5.86,26,3,80.24,33.47,True
sz399552,20240926,7861.26,7592.1,False,False,119,109,-0.4,-0.69,1,11,13.8,3.35,False
sz002228,20240918,2.23,2.21,True,True,120,120,0.0,0.0,0,0,39.86,26.87,True
sz301397,20251225,36.64,36.32,False,False,2,8,-26.28,-21.6,69,63,1.26,-1.5,False
sz003006,20250725,29.21,26.62,False,False,17,30,-32.04,-23.15,103,90,8.66,-21.4,False
sz300623,20240924,17.35,17.03,False,False,119,105,-1.21,-11.48,1,15,169.16,82.42,True
sz000691,20240807,2.9,2.87,False,False,83,80,-26.92,-33.08,37,40,33.87,-15.18,False
sz300842,20250624,43.54,42.86,False,False,115,115,-1.38,-1.68,5,5,71.36,38.86,True
sz002418,20240925,2.12,2.09,True,True,120,120,0.0,0.0,0,0,93.87,50.0,True
sz002884,20250714,16.18,16.05,False,False,115,119,-0.87,-0.07,5,1,13.66,6.98,False
sz000422,20240924,11.7,11.34,False,False,108,76,-2.99,-9.1,12,44,31.88,30.26,True
sz300559,20240930,10.27,9.47,False,False,104,111,-11.3,-5.52,16,9,45.57,8.76,False
sz002903,20250624,19.21,18.9,True,False,120,107,0.0,-5.75,0,13,29.36,9.16,False
sz002456,20240906,8.85,8.45,False,False,108,111,-10.73,-5.37,12,9,110.4,55.93,True
sz000938,20240927,21.92,21.0,True,True,120,120,0.0,0.0,0,0,50.79,24.41,True
sz301273,20251124,27.26,27.0,False,False,70,65,-8.73,-9.54,24,29,30.3,13.94,False
sz000516,20240930,5.46,5.0,False,False,76,97,-12.09,-6.45,44,23,21.61,1.47,False
sz002005,20240730,1.13,1.08,False,True,114,120,-1.77,0.0,6,0,86.73,49.56,True
sz002878,20240930,12.35,11.96,False,False,98,101,-10.61,-7.29,22,19,72.71,18.62,False
sz200030,20250314,3.25,3.23,False,False,12,34,-13.55,-12.24,108,86,0.92,-2.37,False
sz002562,20240911,3.41,3.32,False,False,113,115,-5.87,-3.32,7,5,53.08,27.57,True
sz002836,20240812,6.0,5.97,False,False,93,92,-7.5,-7.25,27,28,55.35,27.84,True
sz000558,20240805,2.43,2.42,False,False,87,89,-10.7,-9.12,33,31,104.94,41.98,True
sz300270,20240927,6.22,5.93,True,False,120,106,0.0,-6.83,0,14,63.99,17.85,False
sz300691,20250728,19.43,19.42,False,False,28,34,-14.98,-11.2,92,86,6.48,-7.62,False
sz300976,20251126,58.46,58.39,False,False,60,29,-8.71,-14.23,32,63,15.81,2.57,False
sz300127,20240930,16.41,14.47,False,False,114,109,-8.04,-10.7,6,11,117.25,43.21,True
sz002028,20240807,65.69,63.83,False,False,108,107,-4.84,-3.76,12,13,22.21,17.38,False
sz301539,20250703,19.02,18.68,False,False,108,100,-4.57,-5.7,12,20,11.41,9.15,False
sz002486,20240923,1.76,1.76,True,False,120,109,0.0,-13.71,0,11,80.11,19.32,False
sz300169,20240731,5.94,5.31,False,False,88,94,-15.49,-10.21,32,26,94.28,17.68,False
sz002635,20240731,14.18,13.81,False,False,80,76,-15.02,-13.2,40,44,27.64,5.85,False
sz002066,20240918,8.39,8.1,False,False,116,118,-4.53,-1.03,4,2,49.34,31.47,True
sz301010,20250703,17.76,17.05,True,True,120,120,0.0,0.0,0,0,60.53,30.52,True
sz399428,20240927,2402.1,2343.3,True,True,120,120,0.0,0.0,0,0,40.49,32.33,True
sz002352,20240830,34.06,33.54,False,False,114,118,-0.68,-1.17,6,2,29.61,21.77,True
sz301577,20251014,58.67,57.79,False,False,87,75,-7.79,-10.91,33,45,25.75,6.29,False
sz300892,20250624,33.1,32.4,False,False,105,71,-3.84,-9.05,15,49,22.27,-3.75,False
sz300258,20240930,9.05,8.19,False,True,82,120,-9.18,0.0,38,0,83.13,47.87,True
sz000017,20240930,6.63,6.38,False,False,32,61,-17.8,-11.8,88,59,15.54,-6.33,False
sz002998,20260120,8.13,8.06,False,False,46,44,-9.1,-10.31,9,11,16.85,13.78,False
sz301321,20251201,16.3,16.29,False,False,85,79,-3.01,-5.25,4,10,54.85,46.56,True
sz000570,20240926,4.67,4.63,True,False,120,111,0.0,-3.03,0,9,45.82,16.92,False
sz002063,20240731,5.32,5.28,False,False,79,66,-16.54,-15.89,41,54,27.07,6.58,False
sz200056,20240930,1.0,0.95,False,False,115,101,-3.0,-6.27,5,19,60.0,18.0,False
