breakthrough_date,breakthrough_price,consolidation_amplitude,final_gain,success,ts_code,volatility_shrink_ratio
20240806,11.09,9.74,0.72,False,sh603567,1.9036
20240927,54.07,31.2,-4.2,False,sh603833,2.7905
20251219,5.74,22.66,-2.09,False,sh603335,1.8728
20240927,7.95,16.42,-6.92,False,sh600238,2.1317
20240924,4.99,9.95,21.86,True,sh603999,0.5187
20240731,4736.64,4.15,-2.81,False,sh000934,1.0086
20240816,3520.33,6.14,1.51,False,sh000149,0.6572
20240927,11.61,11.92,4.31,False,sh603319,0.5783
20240927,1.76,17.76,0.57,False,sh600408,3.1413
20260121,49.62,7.97,5.46,False,sh603062,0.7121
20240927,8.97,13.71,3.23,False,sh600392,2.2239
20260105,30.93,22.68,16.55,False,sh688260,0.3061
20250902,8.85,9.32,-3.84,False,sh601825,0.3367
20250625,35.25,19.51,1.93,False,sh688433,0.6704
20240930,11.12,16.42,-4.86,False,sh603630,3.8824
20240927,3.39,11.03,11.21,False,sh600121,4.6234
20240927,4905.48,13.21,2.11,False,sh000107,2.3089
20240924,10.82,12.39,40.11,True,sh600446,0.6102
20251020,14.0,22.98,0.29,False,sh688707,1.2887
20240816,5.8,7.31,1.9,False,sh600015,0.4714
20240926,1.92,13.66,9.38,False,sh600868,1.3828
20250625,5.56,20.29,1.26,False,sh603682,1.2347
20240930,4.77,17.04,-7.12,False,sh600572,3.217
20250708,27.15,8.09,4.35,False,sh688633,1.0859
20240906,5.5,10.4,-6.72,False,sh600826,1.2653
20250624,14.74,12.65,1.24,False,sh603201,1.8672
20240926,2.57,11.59,8.95,False,sh600496,2.2518
20250701,36.81,8.93,-6.41,False,sh688337,1.1698
20250625,18.17,12.22,2.75,False,sh605177,1.2586
20240926,1994.07,11.28,21.06,True,sh000828,2.0783
20240927,12.3,15.07,-3.17,False,sh603885,1.6711
20250819,109.0,9.5,7.98,False,sh688332,1.4879
20240830,5.95,7.98,0.84,False,sh600073,1.5102
20240926,79.97,18.09,5.94,False,sh600309,3.1899
20250624,29.74,14.43,4.61,False,sh688181,1.0714
20250624,53.66,11.03,7.27,False,sh688048,0.654
20251113,37.84,32.2,-5.44,False,sh603130,0.9269
20260121,14.12,11.19,0.85,False,sh605208,0.4684
20250929,11.94,11.95,-1.34,False,sh603700,1.4292
20240927,16.87,22.64,-0.18,False,sh601168,1.8675
20240925,4.15,19.45,7.23,False,sh600539,1.0293
20250905,53.77,19.48,2.25,False,sh603267,3.4915
20240930,18.64,27.29,-12.77,False,sh600197,4.4765
20240930,8.75,15.34,-1.83,False,sh603686,3.8361
20250624,47.12,7.24,0.02,False,sh688065,2.8771
20250729,32.79,7.02,-1.19,False,sh605111,1.8698
20240730,0.26,8.59,-1.52,False,sh900918,0.3186
20240816,10.85,10.58,-0.74,False,sh603701,0.342
20240919,4.1,7.42,32.44,True,sh600643,1.1408
20240926,2.92,17.29,5.14,False,sh601212,3.73
20250630,27.35,14.48,-1.86,False,sh688298,0.4661
20250711,281.46,19.7,4.62,False,sh688502,0.559
20250701,8.23,7.13,-0.73,False,sh600916,0.5131
20240924,15.02,6.37,38.95,True,sh601788,1.7214
20251010,21.64,9.84,-1.94,False,sh688151,1.3083
20250725,69.28,16.42,-3.12,False,sh688702,0.9791
20240927,15.96,13.87,1.5,False,sh601012,2.1161
20240927,97.19,11.38,14.34,False,sh603501,1.5043
20240925,4.95,8.27,8.28,False,sh600210,0.8747
20240926,9.5,9.6,7.69,False,sh603066,1.0847
20240924,2.05,11.24,19.51,False,sh600397,2.1498
20250624,54.37,17.02,1.28,False,sh688685,0.5037
20240925,6.25,17.11,4.32,False,sh603028,1.0043
20241008,19.85,33.83,-11.79,False,sh603855,2.9431
20240925,9.05,18.97,37.13,True,sh600739,0.6369
20250624,30.06,9.07,0.83,False,sh688478,0.654
20250904,30.68,12.26,7.95,False,sh605296,2.0612
20240926,3189.28,18.13,7.77,False,sh000952,2.6018
20250624,21.36,14.68,2.29,False,sh603004,1.7427
20240926,3.03,11.13,4.29,False,sh600693,0.7344
20240925,7.74,9.35,23.9,True,sh600109,1.1351
20240926,11.17,19.3,7.97,False,sh600420,0.7055
20240927,1369.76,9.18,4.85,False,sh000161,2.2309
20251020,14.57,11.34,4.46,False,sh688455,0.8386
20251126,33.77,29.0,1.84,False,sh688206,0.5322
20240927,7.47,13.31,4.15,False,sh600714,1.8584
20240930,11.45,16.12,-0.26,False,sh603656,4.6456
20240927,5.16,11.4,1.36,False,sh601226,2.7485
20240731,14.52,23.23,1.31,False,sh600859,1.3642
20251103,15.0,17.73,-5.87,False,sh688365,0.3439
20250924,8.49,16.12,3.77,False,sh688602,1.0269
20251119,253.73,14.26,3.38,False,sh603129,1.009
20250729,110.34,9.51,5.19,False,sh688198,1.975
20240830,5.37,22.72,-8.75,False,sh600543,3.5203
20240924,9.02,28.71,32.7,True,sh600817,0.6694
20240821,12.52,11.07,-14.22,False,sh603586,0.5829
20251112,12.86,4.91,-1.4,False,sh603230,1.2421
20250627,58.76,8.37,-0.97,False,sh688281,1.6999
20240926,0.5,11.28,18.4,False,sh900901,1.3427
20250820,20.73,6.53,-2.46,False,sh605108,1.0811
20240926,13.75,11.75,5.75,False,sh600373,0.4922
20260302,113.74,15.84,-2.17,False,sh603083,0.7094
20251208,46.69,28.86,15.44,False,sh688661,0.3802
20250710,13.71,8.94,-4.52,False,sh603719,0.7775
20251218,11.7,15.98,2.91,False,sh603937,1.8896
20241008,13.08,33.6,-17.89,False,sh603985,5.5318
20240927,9.03,16.47,2.1,False,sh600720,1.3358
20240731,41.62,13.87,-3.36,False,sh603556,1.0217
20250808,107.49,5.87,-1.54,False,sh600941,1.0522
20240730,4.79,27.42,0.42,False,sh600889,0.6216
20241008,8.22,32.81,-11.68,False,sh603518,6.5663
20250625,18.8,19.72,6.06,False,sh688081,1.5158
20260316,8.97,15.39,-9.81,False,sh688148,0.7093
20240930,19.93,17.93,-12.34,False,sh600593,4.2128
20240926,7.94,12.17,9.06,False,sh603861,0.7658
20260305,113.49,36.71,14.54,False,sh688585,2.2128
20250624,9.18,4.99,1.53,False,sh603053,0.2011
20240913,2.39,12.15,0.84,False,sh600439,1.0767
20240816,6.9,16.78,-3.48,False,sh603328,0.5968
20260121,20.15,14.1,13.65,False,sh688398,1.4868
20250905,30.96,11.03,0.97,False,sh603860,2.7545
20240926,1.56,18.94,7.69,False,sh601992,1.6036
20240926,2.35,16.66,9.77,False,sh600477,2.7248
20240926,3.99,10.74,5.52,False,sh603366,2.0342
20240930,12037.78,10.99,-2.24,False,sh000136,2.0288
20240930,1.29,17.06,-10.08,False,sh600221,4.9061
20251021,14.81,7.55,3.51,False,sh600927,0.9728
20250714,93.51,16.79,7.13,False,sh688160,0.767
20250724,84.44,4.55,-3.85,False,sh603605,1.1166
20250730,44.43,11.49,-0.68,False,sh688449,1.1532
20240920,1.9,10.64,23.16,True,sh600708,1.3741
20240924,11.64,15.45,14.43,False,sh600926,0.4741
20240731,43.63,17.28,-10.29,False,sh603019,0.9379
20250624,14.87,10.05,1.48,False,sh603848,2.4182
20250911,80.84,35.12,8.42,False,sh688084,1.6735
20240927,10.07,11.38,-2.58,False,sh600138,3.2062
