benchmark_gain,breakthrough_date,breakthrough_price,final_gain,rs_diff,stock_gain,success,ts_code
-0.84,20241025,2.85,10.18,17.79,10.18,False,sh603879
-2.55,20240905,1.64,0.0,-0.95,0.0,False,sh600715
-2.24,20240904,10.09,-2.68,-24.85,-2.68,False,sh600272
0.0,20260306,16.02,-0.81,0.44,-0.81,False,sh603182
0.82,20250624,22.31,6.01,3.38,6.01,False,sh688133
5.69,20240927,7.61,2.1,3.37,2.1,False,sh601369
0.0,20250924,19.25,-0.57,-4.89,-0.57,False,sh688479
0.05,20250114,9.66,-0.62,-10.97,-0.62,False,sh600958
-4.05,20240930,6.11,-3.44,6.67,-3.44,False,sh600125
5.69,20240927,8.14,-0.88,-5.85,-0.88,False,sh603067
0.0,20250929,24.9,-1.77,-5.07,-1.77,False,sh688150
0.0,20250725,75.0,-3.87,6.04,-3.87,False,sh688099
5.69,20240927,19.77,-2.93,16.23,-2.93,False,sh603505
-2.35,20240731,2.9,-2.41,3.11,-2.41,False,sh601016
0.0,20250708,11.26,0.18,7.03,0.18,False,sh688432
10.03,20240926,5.9,10.34,-5.2,10.34,False,sh603318
21.89,20240924,13.66,13.84,3.78,13.84,False,sh601058
0.0,20251218,17.25,2.14,-4.49,2.14,False,sh688681
5.69,20240927,5.33,6.01,-2.41,6.01,False,sh600409
0.0,20250710,8.64,-1.39,4.35,-1.39,False,sh603357
0.0,20251128,25.63,-2.3,-4.44,-2.3,False,sh688178
-2.69,20240830,5.12,-7.23,-25.44,-7.23,False,sh601668
-4.05,20240930,11.05,-5.61,21.41,-5.61,False,sh600970
0.26,20240808,10.5,-3.43,7.95,-3.43,False,sh600697
-2.35,20240731,7.66,-2.09,11.18,-2.09,False,sh600710
0.82,20250624,24.74,1.41,-0.62,1.41,False,sh688598
-0.99,20240815,6.79,-2.36,17.24,-2.36,False,sh600143
0.0,20260107,65.49,10.02,21.37,10.02,False,sh688202
0.0,20260323,31.11,2.89,5.42,2.89,False,sh603529
0.0,20250711,35.0,5.17,11.11,5.17,False,sh688651
10.03,20240926,4.33,2.08,17.18,2.08,False,sh600510
9.68,20240919,8.26,5.08,-14.63,5.08,False,sh600343
-0.42,20240730,6.0,-3.17,-0.74,-3.17,False,sh603766
0.0,20251125,10.27,1.46,-1.53,1.46,False,sh688565
0.0,20250815,18.95,3.59,1.99,3.59,False,sh603949
0.0,20250630,59.63,-0.92,1.6,-0.92,False,sh688185
