,co_name,symbol,market,asset,co_business,amplitude,pe_s_d,co_intro,sc,hk_equity,exchange,mv,pe_s,pb_d,equity,ps,industry,turnover,oo,pb_MRQ
142,青岛啤酒股份,00168,主板,13.50,-,-,-,青岛啤酒股份有限公司,-,6.55亿,HK,496.49亿,38.8428,2.72,13.51亿,1.53,饮品 (酒精类),0.40%,-,-
143,万达酒店发展,00169,主板,0.42,-,-,-,万达酒店发展有限公司,-,46.97亿,HK,32.88亿,-,1.66,46.97亿,7.64,中国房地产,-,-,-
144,银建国际,00171,主板,2.76,-,-,-,银建国际控股集团有限公司,-,23.05亿,HK,27.43亿,-,0.43,23.05亿,5.34,投资控股及资产管理,0.04%,-,-
145,嘉华国际,00173,主板,8.57,-,-,-,嘉华国际集团有限公司,-,29.61亿,HK,149.22亿,4.6245,0.59,29.61亿,1.49,-,0.16%,-,-
146,盛洋投资,00174,主板,8.50,-,-,-,盛洋投资(控股)有限公司,-,4.51亿,HK,4.55亿,-,0.12,4.51亿,3.58,地产投资,0.01%,-,-
147,吉利汽车,00175,主板,3.11,-,-,-,吉利汽车控股有限公司,-,89.18亿,HK,1034.44亿,18.5897,3.73,89.18亿,1.72,-,0.40%,-,-
148,先机企业集团,00176,主板,0.36,-,-,-,先机企业集团有限公司,-,13.18亿,HK,9.36亿,260.9331,1.99,13.18亿,6.30,电器部件及设备,-,-,-
149,江苏宁沪高速公路,00177,主板,5.16,-,-,-,江苏宁沪高速公路股份有限公司,-,12.22亿,HK,560.20亿,15.1016,2.16,50.38亿,5.43,公路基建,0.44%,-,-
150,莎莎国际,00178,主板,0.79,-,-,-,莎莎国际控股有限公司,-,29.94亿,HK,111.09亿,28.1117,4.68,29.94亿,1.41,美容护肤,0.37%,-,-
151,德昌电机控股,00179,主板,17.62,-,-,-,德昌电机控股有限公司,-,8.79亿,HK,234.65亿,12.5766,1.52,8.79亿,1.07,-,0.07%,-,-
152,开达集团,00180,主板,1.90,-,-,-,开达集团有限公司,-,9.51亿,HK,7.13亿,5.8007,0.39,9.51亿,0.93,玩具,-,-,-
153,闽港控股,00181,主板,0.34,-,-,-,闽港控股有限公司,-,11.46亿,HK,4.47亿,268.165,1.16,11.46亿,14.94,酒店,0.01%,-,-
154,协合新能源,00182,主板,0.66,-,-,-,协合新能源集团有限公司,-,87.04亿,HK,30.47亿,5.8745,0.53,87.04亿,1.47,环保公用事业,0.30%,-,-
155,宏辉集团,00183,主板,0.23,-,-,-,宏辉集团控股有限公司,-,55.48亿,HK,10.93亿,-,0.86,55.48亿,23.75,物业管理及代理,0.07%,-,-
156,激成投资,00184,主板,10.61,-,-,-,激成投资(香港)有限公司,-,3.40亿,HK,22.45亿,9.9639,0.62,3.40亿,1.13,酒店,0.01%,-,-
157,正商实业,00185,主板,0.19,-,-,-,正商实业有限公司,-,61.77亿,HK,13.84亿,-,1.19,61.77亿,15.96,酒店,0.03%,-,-
158,敏捷控股,00186,主板,0.00,-,-,-,敏捷控股有限公司,-,54.92亿,HK,18.67亿,-,309.09,54.92亿,6.14,-,-,-,-
159,京城机电股份,00187,主板,1.46,-,-,-,北京京城机电股份有限公司,-,10000.00万,HK,10.30亿,-,1.67,4.22亿,0.85,工业机械及设备,-,-,-
160,新华汇富金融,00188,主板,0.17,-,-,-,新华汇富金融控股有限公司,-,55.21亿,HK,6.90亿,-,0.73,55.21亿,6.07,证券及经纪业,0.24%,-,-
161,东岳集团,00189,主板,2.83,-,-,-,东岳集团有限公司,-,21.12亿,HK,28.93亿,-,0.48,21.12亿,0.32,-,-,-,-
162,丽新国际,00191,主板,8.89,-,-,-,丽新制衣国际有限公司,-,19.10亿,HK,41.65亿,6.1786,0.25,19.10亿,2.32,地产投资,-,-,-
163,冠中地产,00193,主板,0.21,-,-,-,冠中地产有限公司,-,38.87亿,HK,3.11亿,-,0.37,38.87亿,1.36,酒店,0.04%,-,-
164,廖创兴企业,00194,主板,28.85,-,-,-,廖创兴企业有限公司,-,3.79亿,HK,46.11亿,10.07,0.42,3.79亿,4.44,-,0.03%,-,-
165,绿科科技国际,00195,主板,0.06,-,-,-,绿科科技国际有限公司,-,51.30亿,HK,5.64亿,5.9155,1.76,51.30亿,1.27,金属采矿及相关贸易,0.95%,-,-
166,宏华集团,00196,主板,0.86,-,-,-,宏华集团有限公司,-,53.55亿,HK,37.49亿,-,0.82,53.55亿,0.79,石油/燃气设备及服务,0.07%,-,-
167,亨泰,00197,主板,1.47,-,-,-,亨泰消费品集团有限公司,-,18.01亿,HK,14.41亿,-,0.55,18.01亿,1.09,包装食品与肉类,1.36%,-,-
168,德祥地产,00199,主板,6.55,-,-,-,德祥地产集团有限公司,-,8.87亿,HK,27.33亿,1.8959,0.47,8.87亿,11.10,综合地产,0.02%,-,-
169,新濠国际发展,00200,主板,14.46,-,-,-,新濠国际发展有限公司,-,15.45亿,HK,298.18亿,2.9213,1.33,15.45亿,1.26,赌场与赌博,1.07%,-,-
170,华大酒店,00201,主板,0.42,-,-,-,华大酒店投资有限公司,-,89.47亿,HK,20.22亿,14.3718,0.54,89.47亿,3.77,酒店,0.03%,-,-
171,润中国际控股,00202,主板,0.65,-,-,-,润中国际控股有限公司,-,60.79亿,HK,15.01亿,-,0.38,60.79亿,14.46,水公用事业,0.07%,-,-
172,资本界金控,00204,主板,0.03,-,-,-,资本界金控集团有限公司,-,88.22亿,HK,2.12亿,-,0.79,88.22亿,240.00,投资控股及资产管理,0.26%,-,-
173,BFB HEALTH,00205,主板,0.15,-,-,-,BFB Health Limited,-,63.74亿,HK,7.07亿,-,0.76,63.74亿,2.40,广告,0.03%,-,-
174,华商能源,00206,主板,1.05,-,-,-,华商能源科技股份有限公司,-,7.07亿,HK,5.16亿,-,0.70,7.07亿,0.46,石油/燃气设备及服务,0.03%,-,-
175,瀛晟科学,00209,主板,0.10,-,-,-,瀛晟科学有限公司,-,36.62亿,HK,6.23亿,-,1.65,36.62亿,1.54,-,1.55%,-,-
176,达芙妮国际,00210,主板,2.04,-,-,-,达芙妮国际控股有限公司,-,16.49亿,HK,13.85亿,-,0.41,16.49亿,0.22,鞋类,0.03%,-,-
177,STYLAND HOLD,00211,主板,0.12,-,-,-,大凌集团有限公司,-,47.89亿,HK,9.29亿,745.0683,1.62,47.89亿,11.02,投资控股及资产管理,0.02%,-,-
178,NANYANG HOLD,00212,主板,100.94,-,-,-,南洋集团有限公司,-,3511.62万,HK,15.45亿,12.3203,0.44,3511.62万,10.76,地产投资,-,-,-
179,NATIONAL ELEC H,00213,主板,1.91,-,-,-,乐声电子有限公司,-,10.17亿,HK,11.09亿,4.5721,0.57,10.17亿,1.00,电器部件及设备,0.01%,-,-
180,汇汉控股,00214,主板,13.40,-,-,-,汇汉控股有限公司,-,8.41亿,HK,18.92亿,3.3959,0.17,8.41亿,0.87,综合地产,0.04%,-,-
