,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
5080,碳博士控股,TANH,US,0.344,-,7.43%,7.39/0.943,-,-1.71,-,-,NASDAQ,-,468.12万,951.08万,化学制品,0.22%,1.04%,0.033
5081,淘屏,TAOP,US,1.24,-,0.81%,-6.54/-,-,0.65,-,-,-,-,1145.60万,-467.95万,软件,0.01%,0.27%,0.791
5082,TAO Synergies,TAOX,US,5.19,-,8.17%,-8.81/-,-,0.97,-,-,-,-,3877.93万,-2907.58万,制药,2.21%,8.49%,1.77
5083,摩森康胜B,TAP,US,42.44,http://www.molsoncoors.com/,3.13%,-10.75/-,"摩森康胜（Molson Coors Brewing Co）是一家总部在美国的啤酒制造商，业务遍及北美、欧洲和亚洲；旗下有银子弹啤酒(Coorslight)，Molson Canadian, Carling, Blue Moon, and Keystone Light等众多品牌。",-1,-,-,NYSE,-,75.63亿,-21.40亿,饮料,1.97%,95.37%,0.739
5084,摩森康胜A,TAP.A,US,-,-,-,-10.75/-,-,-,-,-,NYSE,-,85.34亿,-21.40亿,饮料,0.24%,0.00%,0.834
5085,Protara Therapeutics,TARA,US,5.13,-,4.09%,-1.34/-,-,-2.47,-,-,-,-,2.77亿,-5743.90万,生物科技,0.82%,74.23%,1.41
5086,Tarsus,TARS,US,61.45,-,4.02%,-1.59/-,-,0.79,-,-,-,-,26.15亿,-6641.80万,制药,1.81%,103.01%,7.61
5087,TaskUs,TASK,US,6.48,-,4.15%,1.14/5.8,-,1.41,-,-,-,-,5.93亿,1.02亿,专业服务,2.39%,71.92%,0.989
5088,TAT Technologies,TATT,US,35.96,-,5.92%,1.39/27.75,-,-7.06,-,-,NASDAQ,-,4.67亿,1682.20万,航空航天与国防,2.28%,55.84%,2.65
5089,Tavia,TAVI,US,10.61,-,0.00%,0.23/46.85,-,0.47,-,-,-,-,1.69亿,360.54万,资本市场,0.00%,89.22%,-
5090,泰勒设备,TAYD,US,57.99,-,5.82%,2.12/17.98,-,-0.02,-,-,NASDAQ,-,1.87亿,669.68万,机械制造,2.19%,37.01%,2.66
5091,BBB Foods,TBBB,US,37.27,-,3.49%,-1.37/-,-,-0.08,-,-,-,-,43.93亿,-1.58亿,食品与日用品零售,0.55%,90.25%,19.17
5092,The Bancorp,TBBK,US,57.91,-,6.29%,4.99/10.49,-,-4.23,-,-,NASDAQ,-,24.24亿,6006.90万,商业银行,1.37%,106.41%,3.48
5093,乌龟海岸,TBCH,US,11.45,-,3.28%,0.78/14.45,-,1.42,-,-,-,-,2.27亿,1573.10万,耐用消费品,0.79%,64.85%,1.77
5094,Brag House Holdings,TBH,US,0.745,-,9.32%,-1.31/-,-,2.05,-,-,-,-,1750.46万,-1589.05万,娱乐,8.65%,15.35%,5.1
5095,TrueBlue,TBI,US,4.77,-,7.21%,-1.61/-,-,3.25,-,-,NYSE,-,1.45亿,-4796.00万,专业服务,1.09%,90.88%,0.527
5096,Taboola.com,TBLA,US,3.8,-,3.76%,0.14/24.95,-,2.15,-,-,-,-,10.55亿,4228.40万,信息技术服务,0.92%,39.17%,1.16
5097,Thornburg Income,TBLD,US,21.79,-,2.96%,3.05/6.93,-,-1.54,-,-,-,-,6.77亿,9768.70万,资本市场,0.27%,28.26%,0.995
5098,Tamboran Resources,TBN,US,35.62,-,2.38%,-0.79/-,-,-1.03,-,-,-,-,9.93亿,-1479.60万,石油与天然气,0.55%,31.33%,2.77
5099,Theravance,TBPH,US,16.46,-,2.21%,2.1/8,-,0.92,-,-,NASDAQ,-,8.48亿,1.06亿,制药,0.58%,98.23%,2.86
5100,TruBridge,TBRG,US,25.77,-,0.39%,0.29/88.78,-,0.04,-,-,-,-,3.87亿,435.40万,医疗保健技术,5.92%,45.13%,2.17
5101,团车,TC,US,9.7,-,1.31%,0.0000/-,-,-2.18,-,-,-,-,2.13亿,-9.42万,媒体,0.00%,0.00%,46.41
5102,德州资本银行,TCBI,US,99.13,-,5.04%,1.58/12.74,-,-4.3,-,-,NASDAQ,-,43.29亿,6947.50万,商业银行,2.19%,99.64%,1.31
