ts_code,breakthrough_date,breakthrough_price,max_drawdown,max_gain,success,final_gain
sz300829,20250808,18.37,2.4,8.33,False,7.46
sz300055,20240926,4.3,0.46,35.77,True,24.39
sz002709,20240930,18.37,15.73,10.07,False,-0.93
sz300867,20250908,17.37,2.53,17.39,False,17.39
sz000953,20240731,3.33,5.71,46.25,True,-0.6
sz301086,20250709,45.79,1.53,14.41,False,14.41
sz001300,20260324,16.88,10.66,9.48,False,9.48
sz300036,20240927,15.24,0.0,40.88,True,19.75
sz002597,20240731,19.75,9.06,8.35,False,8.35
sz300551,20240920,7.8,6.67,89.62,True,71.03
sz301428,20250624,39.99,3.18,7.23,False,0.28
sz300804,20260209,43.19,3.26,24.33,True,15.91
sz000930,20240930,5.79,5.01,8.98,False,-1.04
sz002724,20240927,4.7,0.0,17.45,False,13.4
sz301101,20250820,49.09,8.8,1.87,False,-0.59
sz300078,20240802,2.9,23.1,0.0,False,-14.83
sz002945,20250625,14.68,4.22,8.17,False,4.29
sz000750,20240906,3.15,7.62,67.34,True,32.72
sz300664,20251010,5.39,2.97,12.24,False,12.24
sz301235,20251125,30.06,4.59,47.11,True,47.11
sz002243,20240918,5.76,0.17,33.33,True,21.53
sz301035,20260120,78.6,3.09,7.1,False,6.02
sz200625,20240927,3.36,8.62,6.54,False,-5.05
sz399397,20240927,1731.66,0.0,20.74,True,9.41
sz000983,20240930,9.3,14.94,0.0,False,-13.87
sz301552,20250630,38.26,4.55,3.35,False,3.35
sz000037,20240930,8.74,10.53,7.32,False,2.63
sz002377,20240930,2.14,7.94,59.81,True,44.86
sz301628,20250626,88.39,4.74,3.13,False,-0.74
sz001234,20260206,27.98,1.64,8.83,False,-0.18
sz300465,20240819,8.24,15.17,0.0,False,-12.74
sz300236,20240730,32.16,16.14,1.59,False,-13.31
sz002339,20240923,5.98,2.68,20.9,True,17.56
sz002813,20240930,27.25,6.68,10.83,False,2.53
sz301018,20250714,39.3,1.48,26.01,True,26.01
sz300255,20240912,10.42,6.81,110.08,True,110.08
sz301056,20251222,11.68,0.0,48.12,True,32.02
sz002020,20240802,10.33,2.71,9.49,False,6.0
sz000829,20240801,8.43,9.13,6.05,False,6.05
sz002547,20240902,3.19,21.0,20.06,True,8.15
sz300581,20240801,8.18,15.16,1.59,False,-12.47
sz002311,20240930,46.72,15.88,0.0,False,-2.4
sz399971,20240927,999.42,0.25,19.58,False,9.71
sz002676,20240731,4.28,7.48,0.23,False,-6.54
sz002025,20240823,43.52,4.85,7.9,False,4.92
sz399696,20240927,2250.07,0.0,28.55,True,18.3
sz300403,20240927,6.91,0.0,31.55,True,16.06
sz300778,20250904,13.43,4.84,2.98,False,-3.65
sz002990,20250908,29.64,11.3,2.67,False,-7.89
sz300399,20240731,10.74,12.76,9.12,False,-7.36
sz002638,20240920,1.78,1.12,28.65,True,18.54
sz300935,20260416,32.64,1.84,1.93,False,1.93
sz000801,20240801,10.99,27.3,1.55,False,-23.75
sz300233,20241008,15.14,17.84,0.0,False,-12.62
sz000032,20240927,15.62,0.0,25.54,True,16.39
sz002521,20240930,11.6,23.62,4.22,False,-22.41
sz399001,20240926,8916.65,0.0,28.92,True,18.78
sz300080,20240924,3.43,0.0,53.94,True,44.02
sz000555,20240927,10.3,0.39,26.21,True,7.28
sz002415,20240930,31.19,14.65,4.94,False,-4.14
sz301230,20251103,35.05,16.32,0.0,False,-10.53
sz002246,20240812,8.53,6.1,9.85,False,-1.06
sz002889,20250630,15.01,2.47,9.93,False,7.73
sz300349,20240930,12.87,2.87,15.38,False,3.57
sz300986,20250819,13.8,18.12,3.33,False,-15.36
sz002172,20240927,2.75,2.91,13.09,False,7.27
sz001282,20250801,19.52,0.61,11.32,False,4.1
sz300801,20251223,27.08,1.18,32.27,True,30.06
sz300307,20240926,5.53,0.0,59.31,True,44.67
sz300660,20240927,17.98,0.0,27.65,True,8.66
sz301083,20260304,19.38,15.48,3.66,False,-14.4
sz399646,20240926,7288.74,0.0,19.61,False,6.8
sz300537,20240730,15.66,10.6,3.64,False,-8.49
sz301587,20250624,22.66,4.1,1.63,False,1.63
sz002438,20240801,11.08,13.81,5.24,False,-8.31
sz000778,20240930,3.8,1.05,9.21,False,2.63
sz301129,20250630,26.92,9.25,2.41,False,-5.09
sz300199,20240930,11.95,12.13,11.3,False,-3.26
sz003026,20251024,35.11,16.15,1.62,False,-15.55
sz300603,20240923,7.53,2.12,42.9,True,36.79
sz002096,20240807,11.3,7.79,5.66,False,4.25
sz001366,20250924,12.51,5.44,5.52,False,5.44
sz002923,20250716,13.17,3.42,18.0,False,13.97
sz300579,20240806,20.67,11.37,0.0,False,-7.4
sz000736,20240918,8.98,4.23,41.54,True,18.82
sz002225,20240927,3.68,5.98,14.94,False,5.7
sz301167,20250924,15.64,2.75,9.14,False,7.54
sz002742,20240730,2.25,1.69,23.0,True,11.92
sz001328,20250805,44.44,12.04,3.98,False,-7.02
sz000680,20240927,7.7,5.07,23.91,True,23.91
sz300506,20240923,1.67,4.48,78.43,True,72.1
sz002393,20240808,16.3,10.55,1.66,False,-8.89
sz300355,20240927,2.63,0.0,206.4,True,206.4
sz300853,20250624,24.2,6.36,3.51,False,2.15
