ts_code,breakthrough_date,breakthrough_price,consolidation_amplitude,volatility_shrink_ratio,final_gain,success
sh688137,20260113,49.6,17.47,0.7641,-7.58,False
sh600276,20240806,42.71,23.07,1.2045,-0.56,False
sh603567,20240806,11.09,25.08,0.4733,0.72,False
sh603833,20240927,54.07,29.63,1.461,-4.2,False
sh603335,20251219,5.74,25.12,0.9621,-2.09,False
sh600238,20240927,7.95,31.16,1.6338,-6.92,False
sh603999,20240924,4.99,12.55,0.7026,21.86,True
sh000934,20240731,4736.64,10.35,0.4153,-2.81,False
sh000149,20240816,3520.33,8.43,1.2583,1.51,False
sh603319,20240927,11.61,17.86,0.943,4.31,False
sh600408,20240927,1.76,20.65,1.7062,0.57,False
sh603062,20260121,49.62,14.28,0.6169,5.46,False
sh600392,20240927,8.97,14.84,1.211,3.23,False
sh688260,20260105,30.93,76.66,2.2225,16.55,False
sh601825,20250902,8.85,17.66,2.5802,-3.84,False
sh688433,20250625,35.25,51.35,0.5287,1.93,False
sh603630,20240930,11.12,18.24,1.717,-4.86,False
sh600121,20240927,3.39,11.93,1.1407,11.21,False
sh000107,20240927,4905.48,13.99,0.9482,2.11,False
sh600446,20240924,10.82,14.18,0.6896,40.11,True
sh688707,20251020,14.0,25.1,0.9019,0.29,False
sh600015,20240816,5.8,10.25,0.9855,1.9,False
sh600868,20240926,1.92,19.8,0.8561,9.38,False
sh603682,20250625,5.56,44.41,0.5981,1.26,False
sh600572,20240930,4.77,16.6,1.1478,-7.12,False
sh688633,20250708,27.15,33.21,0.6241,4.35,False
sh600826,20240906,5.5,17.87,0.6405,-6.72,False
sh603201,20250624,14.74,34.97,0.1738,1.24,False
sh600496,20240926,2.57,12.84,0.7786,8.95,False
sh688337,20250701,36.81,37.01,0.2563,-6.41,False
sh605177,20250625,18.17,39.53,0.3921,2.75,False
sh000828,20240926,1994.07,14.11,1.1619,21.06,True
sh603885,20240927,12.3,23.56,0.9746,-3.17,False
sh688332,20250819,109.0,21.23,0.3693,7.98,False
sh600073,20240830,5.95,15.16,0.5147,0.84,False
sh600309,20240926,79.97,19.98,0.8956,5.94,False
sh688181,20250624,29.74,38.78,0.3123,4.61,False
sh688048,20250624,53.66,38.66,0.5489,7.27,False
sh603130,20251113,37.84,35.59,1.6108,-5.44,False
sh605208,20260121,14.12,28.32,0.5468,0.85,False
sh603700,20250929,11.94,13.94,1.2539,-1.34,False
sh601168,20240927,16.87,36.21,0.5198,-0.18,False
sh600539,20240925,4.15,24.93,0.7571,7.23,False
sh603267,20250905,53.77,35.07,0.7694,2.25,False
sh600197,20240930,18.64,25.63,3.0916,-12.77,False
sh603686,20240930,8.75,42.71,0.8697,-1.83,False
sh688065,20250624,47.12,25.72,0.7034,0.02,False
sh605111,20250729,32.79,11.33,1.3036,-1.19,False
sh900918,20240730,0.26,25.29,0.3189,-1.52,False
sh603701,20240816,10.85,21.95,0.673,-0.74,False
sh600643,20240919,4.1,15.67,0.5205,32.44,True
sh601212,20240926,2.92,19.74,0.6733,5.14,False
sh688298,20250630,27.35,28.31,0.928,-1.86,False
sh688502,20250711,281.46,34.77,1.0609,4.62,False
sh600916,20250701,8.23,15.28,0.6011,-0.73,False
sh601788,20240924,15.02,15.88,0.489,38.95,True
sh688151,20251010,21.64,35.75,1.7013,-1.94,False
sh688702,20250725,69.28,22.43,1.0564,-3.12,False
sh601012,20240927,15.96,16.62,1.0345,1.5,False
sh603501,20240927,97.19,32.38,0.5519,14.34,False
sh600210,20240925,4.95,10.94,0.864,8.28,False
sh603066,20240926,9.5,15.17,1.101,7.69,False
sh600397,20240924,2.05,28.6,0.5732,19.51,False
sh688685,20250624,54.37,52.0,0.7563,1.28,False
sh603028,20240925,6.25,30.19,0.8777,4.32,False
sh603855,20241008,19.85,37.55,1.7785,-11.79,False
sh600739,20240925,9.05,18.93,2.5364,37.13,True
sh688478,20250624,30.06,37.35,0.2486,0.83,False
sh605296,20250904,30.68,22.91,0.7394,7.95,False
sh000952,20240926,3189.28,18.49,1.1394,7.77,False
sh603004,20250624,21.36,37.29,0.5869,2.29,False
sh600693,20240926,3.03,17.16,0.6572,4.29,False
sh600109,20240925,7.74,13.93,1.0784,23.9,True
sh600420,20240926,11.17,26.72,1.3785,7.97,False
sh000161,20240927,1369.76,11.25,1.4418,4.85,False
sh688455,20251020,14.57,25.19,0.6716,4.46,False
sh688206,20251126,33.77,51.22,0.8175,1.84,False
sh600714,20240927,7.47,15.57,1.1351,4.15,False
sh603656,20240930,11.45,15.98,1.1444,-0.26,False
sh601226,20240927,5.16,12.35,0.9306,1.36,False
sh600859,20240731,14.52,25.91,2.0312,1.31,False
sh688365,20251103,15.0,34.94,0.6307,-5.87,False
sh688602,20250924,8.49,22.49,0.9625,3.77,False
sh603129,20251119,253.73,29.35,1.2855,3.38,False
sh688198,20250729,110.34,13.71,0.9582,5.19,False
sh600543,20240830,5.37,38.04,0.5701,-8.75,False
sh600817,20240924,9.02,76.83,1.1911,32.7,True
sh603586,20240821,12.52,75.78,0.1451,-14.22,False
sh603230,20251112,12.86,28.66,0.2658,-1.4,False
sh688281,20250627,58.76,24.1,0.4794,-0.97,False
sh900901,20240926,0.5,12.63,0.9847,18.4,False
sh605108,20250820,20.73,19.39,0.2804,-2.46,False
sh600373,20240926,13.75,21.9,0.4883,5.75,False
sh603083,20260302,113.74,44.1,0.8564,-2.17,False
sh688661,20251208,46.69,34.96,0.9789,15.44,False
sh603719,20250710,13.71,17.27,0.9115,-4.52,False
sh603937,20251218,11.7,25.06,1.3114,2.91,False
sh603985,20241008,13.08,31.68,1.7851,-17.89,False
sh600720,20240927,9.03,19.21,2.2475,2.1,False
sh603556,20240731,41.62,31.79,1.4796,-3.36,False
sh600941,20250808,107.49,8.59,1.3499,-1.54,False
sh600889,20240730,4.79,78.45,0.5508,0.42,False
sh603518,20241008,8.22,34.37,1.141,-11.68,False
sh688081,20250625,18.8,35.12,0.9832,6.06,False
sh688148,20260316,8.97,31.18,1.3966,-9.81,False
sh600593,20240930,19.93,24.33,0.8583,-12.34,False
sh603861,20240926,7.94,16.91,0.88,9.06,False
sh688585,20260305,113.49,61.61,0.7129,14.54,False
sh603053,20250624,9.18,12.12,0.7316,1.53,False
sh600439,20240913,2.39,15.06,0.7463,0.84,False
sh603328,20240816,6.9,29.12,1.7636,-3.48,False
sh688398,20260121,20.15,25.3,0.59,13.65,False
sh603860,20250905,30.96,22.11,0.7148,0.97,False
sh601992,20240926,1.56,23.03,1.421,7.69,False
sh600477,20240926,2.35,16.26,1.0706,9.77,False
sh603366,20240926,3.99,19.46,0.6253,5.52,False
sh000136,20240930,12037.78,15.47,1.3282,-2.24,False
sh600221,20240930,1.29,16.71,1.597,-10.08,False
sh600927,20251021,14.81,13.63,0.7984,3.51,False
sh688160,20250714,93.51,36.05,0.4846,7.13,False
sh603605,20250724,84.44,23.36,0.1749,-3.85,False
sh688449,20250730,44.43,21.48,0.6061,-0.68,False
