ts_code,trade_date,close,pe,pb,ps,total_mv,circ_mv
000001.SZ,20021230,10.52,50.8749,5.0441,7.8808,2047004.9007,1482648.7872
000001.SZ,20021227,10.52,50.8749,5.0441,7.8808,2047004.9007,1482648.7872
000001.SZ,20021226,10.63,51.4069,5.0969,7.9632,2068408.9444,1498151.7688
000001.SZ,20021225,11.11,53.7282,5.327,8.3228,2161808.4075,1565801.1431
000001.SZ,20021224,11.19,54.115,5.3654,8.3827,2177374.9847,1577076.0388
000001.SZ,20021223,11.31,54.6954,5.4229,8.4726,2200724.8505,1593988.3824
000001.SZ,20021220,11.32,54.7437,5.4277,8.4801,2202670.6727,1595397.7444
000001.SZ,20021219,11.16,53.97,5.351,8.3602,2171537.5183,1572847.9529
000001.SZ,20021218,11.17,54.0183,5.3558,8.3677,2173483.3404,1574257.3149
000001.SZ,20021217,11.21,54.2118,5.375,8.3977,2181266.629,1579894.7628
000001.SZ,20021216,11.13,53.8249,5.3366,8.3377,2165700.0518,1568619.867
000001.SZ,20021213,11.11,53.7282,5.327,8.3228,2161808.4075,1565801.1431
000001.SZ,20021212,11.06,53.4864,5.303,8.2853,2152079.2968,1558754.3333
000001.SZ,20021211,11.16,53.97,5.351,8.3602,2171537.5183,1572847.9529
000001.SZ,20021210,11.43,55.2757,5.4805,8.5625,2224074.7163,1610900.726
000001.SZ,20021209,11.57,55.9527,5.5476,8.6674,2251316.2264,1630631.7935
000001.SZ,20021206,11.64,56.2912,5.5811,8.7198,2264936.9814,1640497.3273
000001.SZ,20021205,11.64,56.2912,5.5811,8.7198,2264936.9814,1640497.3273
000001.SZ,20021204,11.79,57.0166,5.6531,8.8322,2294124.3137,1661637.7567
000001.SZ,20021203,11.76,56.8716,5.6387,8.8097,2288286.8472,1657409.6708
000001.SZ,20021202,11.62,56.1945,5.5716,8.7048,2261045.3371,1637678.6033
000001.SZ,20021129,12.1,58.5158,5.8017,9.0644,2354444.8003,1705327.9777
000001.SZ,20021128,11.99,57.9839,5.749,8.982,2333040.7567,1689824.996
000001.SZ,20021127,11.7,56.5814,5.6099,8.7647,2276611.9143,1648953.4991
000001.SZ,20021126,11.6,56.0978,5.562,8.6898,2257153.6928,1634859.8794
000001.SZ,20021125,11.83,57.2101,5.6722,8.8621,2301907.6023,1667275.2046
000001.SZ,20021122,11.8,57.065,5.6579,8.8397,2296070.1358,1663047.1187
000001.SZ,20021121,11.81,57.1134,5.6627,8.8472,2298015.958,1664456.4807
000001.SZ,20021120,12.15,58.7576,5.8257,9.1019,2364173.911,1712374.7875
000001.SZ,20021119,12.29,59.4347,5.8928,9.2067,2391415.4211,1732105.855
000001.SZ,20021118,12.22,59.0961,5.8592,9.1543,2377794.6661,1722240.3212
000001.SZ,20021115,12.68,61.3207,6.0798,9.4989,2467302.4849,1787070.9716
